,pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
116,XLF & VFH,long,2023-02-01,2023-03-02,21,-2.488245154421723,-0.3800597686364373,0.0013377042342894718,0.004308543832145073,0.002957553357937792
117,XLF & VFH,short,2023-03-10,2023-04-19,28,2.4109116590436765,0.38823948253991464,0.014843719089030483,0.014161939819968161,0.0005580179063142676
118,XLF & VFH,short,2023-05-02,2023-05-22,15,2.1161161146843392,0.2294115429794517,0.02854934153550115,0.025122189187553268,0.0033599610020478288
119,XLF & VFH,long,2023-07-19,2023-08-08,15,-2.1091775640804657,-0.43641920863486466,0.005184804137380983,0.009864693318936357,0.004675419964423222
120,XLF & VFH,short,2023-09-28,2023-10-17,14,2.078397326158749,0.12104353180096929,0.015984593465178776,0.013139617422318839,0.0028329974414764703
121,XLF & VFH,long,2023-11-29,2024-01-03,24,-2.0008706828954703,-0.40534483984863273,0.011456699281453986,0.004914200676215952,-0.006567703324201868
122,XLF & VFH,short,2024-02-05,2024-02-27,16,2.22032603826993,0.4229442535997848,0.012972094756690034,0.008675500137109271,0.004288243617889931
123,XLF & VFH,long,2024-03-21,2024-03-22,2,-2.325189682536895,0.11861080043927888,0.0023081839135348226,0.008504258450731772,0.006196074537196505
124,XLF & VFH,short,2024-06-07,2024-07-01,16,2.1604317512787317,-0.3931500487545541,0.012580676652684364,0.007327379128563738,0.005237443709453338
125,XLF & VFH,long,2024-07-16,2024-08-02,14,-2.9671560543367215,-0.2537179528092099,0.001667737980604489,0.005226852726949449,0.0035440588451296495
126,XLF & VFH,long,2024-11-06,2024-12-24,34,-3.173316126115837,0.42458933513589475,-0.005520097788925593,-0.002511200779973244,0.0029066282621772466
127,XLK & VGT,long,2020-10-06,2021-05-06,147,-2.03285619058249,-0.3830324633679181,-0.018380189571984396,-0.022104621030839766,-0.004033361400162971
128,XLK & VGT,short,2021-12-16,2023-02-01,283,2.240764580927233,0.4464496884087924,-0.010747968610988146,0.01599556123728263,-0.027106519889108616
129,XLK & VGT,short,2023-09-13,2023-12-14,66,2.150313345777705,0.3794039723690657,0.03034695188131753,0.028028433640147732,0.002186414991036667
130,XLY & VCR,short,2019-07-08,2019-08-02,20,2.10134229907326,0.3823187542003395,0.026274833991227098,0.02049335863789903,0.005780073731753932
131,XLY & VCR,long,2020-01-27,2020-02-10,11,-2.165911802610787,-0.288140170431858,0.01802755520543542,0.022366542658471822,0.0043242838395156635
132,XLY & VCR,long,2020-02-24,2020-04-08,33,-3.135889419304671,-0.4724598598346257,0.011671466722050106,0.004627656233456179,-0.008684090733696581
133,XLY & VCR,short,2020-09-11,2020-09-22,8,3.0923835340158337,0.4604118880813859,0.02290873939967053,0.00707978813072252,0.015867624190239793
134,XLY & VCR,short,2020-10-12,2020-10-27,12,2.126378633624105,0.46689611464277203,0.019145572185209403,0.00993453371425801,0.009212886511449137
135,XLY & VCR,long,2020-11-27,2021-03-31,85,-2.3110996110138045,-0.49377839913318755,-0.0075346883511100415,-0.035823125497042696,-0.028726885490909737
136,XLY & VCR,short,2021-07-12,2021-08-17,27,2.0281003872441725,0.1955144504206122,-0.015597327835116026,-0.024447099925876792,0.008839332635248942
137,XLY & VCR,short,2021-10-06,2022-01-19,73,2.043941169467346,0.24892985139509566,-0.004032823129080931,0.03670677173938053,-0.04042674526462953
138,XLY & VCR,long,2022-02-11,2022-03-22,27,-2.0932938511125,-0.20787374290714944,0.017543695786635283,0.026755521433553753,0.008966009366843553
139,XLY & VCR,long,2022-05-09,2022-07-19,49,-2.6233165446591045,-0.39519632071865274,-0.007985918567474215,-0.012375210116896795,-0.005024109761251561
140,XLY & VCR,long,2022-10-11,2023-01-24,72,-2.052031824576209,-0.45688776055849833,-0.03338623162670196,-0.04580210832757636,-0.01283683919627776
141,XLY & VCR,short,2023-05-18,2023-08-03,53,2.2264785810514223,0.4745441286465158,-0.02314086880992061,-0.0028232575666518045,-0.020301585527852994
142,XLY & VCR,long,2023-09-27,2023-10-05,7,-2.168631619056297,-0.40803588162721754,-0.011027698924722884,-0.00044760221055639704,0.010586832335759855
143,XLY & VCR,long,2023-10-19,2023-11-07,14,-2.4238941788269095,-0.4248198437169224,-0.014343851336288793,-0.006517054636425712,0.007809795628262783
144,XLY & VCR,long,2024-04-16,2024-04-30,11,-2.2995694766817603,-0.22626331151348822,-0.013481321344023911,-0.0067005799706869595,0.006723581960992986
145,XLY & VCR,short,2024-06-21,2024-07-25,24,2.272138311686793,0.1965951849001966,0.0027455715001520886,-0.0018659620380390152,0.00442580184873953
